number,value,datetime_start,datetime_complete,duration,params_algorithm,params_bagging_temperature,params_boosting_type,params_border_count,params_classifier,params_criterion,params_depth,params_l2_leaf_reg,params_leaf_size,params_learning_rate,params_max_depth,params_max_features,params_max_leaf_nodes,params_metric,params_metric_params,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_jobs,params_n_neighbors,params_num_leaves,params_p,params_weights,user_attrs_final_model,state,accuracy,precision,recall,f1,mcc
0,0.8512438364748759,2025-07-01 23:22:21.752874,2025-07-01 23:22:25.404881,0 days 00:00:03.652007,auto,0.20722061916437773,gbdt,54,CatBoost,gini,5,52.299738309396965,38,0.1014924460553041,2,,,manhattan,,9,6,82,,2,107,1,distance,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5C99BB0>)],
                 voting='soft')",COMPLETE,0.9229064039408867,0.9404502541757443,0.8486238532110092,0.8921805029280054,0.8350911495557461
1,0.7418035422747737,2025-07-01 23:22:25.505676,2025-07-01 23:22:26.289627,0 days 00:00:00.783951,auto,0.2860972964003463,gbdt,22,DecisionTreeClassifier,entropy,10,83.63003132999869,20,0.3239377362042786,5,,,minkowski,,3,8,117,,17,104,2,distance,"VotingClassifier(estimators=[('DecisionTreeClassifier',
                              DecisionTreeClassifier(criterion='entropy',
                                                     max_depth=5,
                                                     min_samples_leaf=3,
                                                     min_samples_split=8,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.8766009852216748,0.9475982532751092,0.7110091743119266,0.8124298015724448,0.7398175069685837
2,0.618388330942133,2025-07-01 23:22:26.398368,2025-07-01 23:22:27.682606,0 days 00:00:01.284238,auto,0.9014880709686558,gbdt,96,ExtraTreesClassifier,entropy,5,37.30770437938277,11,0.49514520440300597,3,,,euclidean,,3,5,109,,11,108,2,distance,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(criterion='entropy',
                                                   max_depth=3,
                                                   max_features=None,
                                                   min_samples_leaf=3,
                                                   min_samples_split=5,
                                                   n_estimators=109,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.812807881773399,0.9682151589242054,0.5190039318479686,0.6757679180887373,0.6143222798638467
3,0.8943233727469121,2025-07-01 23:22:27.771897,2025-07-01 23:22:29.329026,0 days 00:00:01.557129,brute,0.7222685335976409,dart,121,ExtraTreesClassifier,entropy,8,90.53512136099637,19,0.4756483227649434,6,,,euclidean,,11,8,98,,5,114,3,uniform,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(criterion='entropy',
                                                   max_depth=6,
                                                   max_features=None,
                                                   min_samples_leaf=11,
                                                   min_samples_split=8,
                                                   n_estimators=98,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.8827586206896552,0.9464285714285714,0.7293577981651376,0.8238341968911916,0.752242324826995
4,0.8541132769339862,2025-07-01 23:22:29.423613,2025-07-01 23:22:30.705179,0 days 00:00:01.281566,ball_tree,0.36602125738848257,gbdt,165,RandomForestClassifier,entropy,8,74.16761440571476,42,0.08070689155774179,10,,,euclidean,,4,6,90,,3,115,1,distance,"VotingClassifier(estimators=[('RandomForestClassifier',
                              RandomForestClassifier(criterion='entropy',
                                                     max_depth=10,
                                                     max_features=None,
                                                     min_samples_leaf=4,
                                                     min_samples_split=6,
                                                     n_estimators=90, n_jobs=-1,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.9184729064039409,0.9489105935386927,0.827653997378768,0.8841442072103605,0.8262740625339698
5,0.8409010702683091,2025-07-01 23:22:30.806298,2025-07-01 23:22:31.747400,0 days 00:00:00.941102,auto,0.6318507688339123,goss,94,RandomForestClassifier,entropy,5,76.05209785836914,46,0.12892194015528408,9,,,manhattan,,11,4,67,,5,126,3,distance,"VotingClassifier(estimators=[('RandomForestClassifier',
                              RandomForestClassifier(criterion='entropy',
                                                     max_depth=9,
                                                     max_features=None,
                                                     min_samples_leaf=11,
                                                     min_samples_split=4,
                                                     n_estimators=67, n_jobs=-1,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.905911330049261,0.9218289085545722,0.8191349934469201,0.8674531575294934,0.7982487155002932
6,0.8923106416662543,2025-07-01 23:22:31.837133,2025-07-01 23:22:35.122400,0 days 00:00:03.285267,brute,0.8386318742628276,goss,240,CatBoost,entropy,8,8.059932223671947,14,0.419833924169613,10,,,euclidean,,1,10,140,,17,127,3,uniform,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5C343A0>)],
                 voting='soft')",COMPLETE,0.9381773399014778,0.9498941425546931,0.8820445609436435,0.9147128780156303,0.8677966394540663
7,0.8357323669585581,2025-07-01 23:22:35.206863,2025-07-01 23:22:36.909242,0 days 00:00:01.702379,brute,0.10696516174638904,goss,226,ExtraTreesClassifier,gini,6,51.56542250351759,48,0.37993281214271735,8,,,minkowski,,2,5,87,,8,112,2,distance,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(max_depth=8,
                                                   max_features=None,
                                                   min_samples_leaf=2,
                                                   min_samples_split=5,
                                                   n_estimators=87,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.9088669950738916,0.9307004470938898,0.8184796854521625,0.8709902370990238,0.8049399580794753
8,0.8865664011609692,2025-07-01 23:22:36.973078,2025-07-01 23:22:39.169192,0 days 00:00:02.196114,ball_tree,0.46202299041507777,dart,217,CatBoost,gini,8,63.53915018263438,26,0.31333887943008193,2,,,euclidean,,11,7,128,,2,102,2,uniform,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5C47250>)],
                 voting='soft')",COMPLETE,0.9344827586206896,0.9424157303370787,0.8794233289646134,0.9098305084745762,0.8597433072811765
9,0.8543998087039693,2025-07-01 23:22:39.235216,2025-07-01 23:22:40.318359,0 days 00:00:01.083143,ball_tree,0.32515586011903186,gbdt,202,RandomForestClassifier,entropy,7,21.126817445676117,41,0.28964991279650243,10,,,manhattan,,4,5,77,,10,116,2,distance,"VotingClassifier(estimators=[('RandomForestClassifier',
                              RandomForestClassifier(criterion='entropy',
                                                     max_depth=10,
                                                     max_features=None,
                                                     min_samples_leaf=4,
                                                     min_samples_split=5,
                                                     n_estimators=77, n_jobs=-1,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.9172413793103448,0.9433681073025335,0.8296199213630406,0.8828451882845189,0.8233177529099396
10,0.8612951236003232,2025-07-01 23:22:40.397790,2025-07-01 23:22:42.042461,0 days 00:00:01.644671,kd_tree,0.6757740379552325,dart,150,LightGBM,gini,10,93.71658015366947,28,0.19659036975469074,6,,,chebyshev,,7,2,53,,13,121,3,uniform,"VotingClassifier(estimators=[('LightGBM',
                              LGBMClassifier(boosting_type='dart',
                                             learning_rate=0.19659036975469074,
                                             max_depth=6, n_estimators=53,
                                             num_leaves=121, random_state=42,
                                             verbose=-1))],
                 voting='soft')",COMPLETE,0.9236453201970444,0.9399421128798843,0.8512450851900393,0.893397524071527,0.8366328869952293
11,0.8340086413034516,2025-07-01 23:22:42.105842,2025-07-01 23:22:44.683942,0 days 00:00:02.578100,brute,0.9720856070271189,dart,124,ExtraTreesClassifier,entropy,8,0.7554011503346114,10,0.49543940334007097,7,,,euclidean,,7,11,150,,18,128,3,uniform,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(criterion='entropy',
                                                   max_depth=7,
                                                   max_features=None,
                                                   min_samples_leaf=7,
                                                   min_samples_split=11,
                                                   n_estimators=150,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.8992610837438424,0.908558888076079,0.8138925294888598,0.8586242654683719,0.7835949808742292
12,0.8917363412985042,2025-07-01 23:22:44.777147,2025-07-01 23:22:48.592975,0 days 00:00:03.815828,brute,0.7697950587064011,goss,255,CatBoost,entropy,9,6.127356969857721,18,0.41908676745581547,4,,,euclidean,,1,11,141,,14,121,3,uniform,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5C3BE20>)],
                 voting='soft')",COMPLETE,0.9379310344827586,0.9479606188466948,0.8833551769331586,0.9145183175033921,0.8672188536812363
13,0.8894370784478636,2025-07-01 23:22:48.687913,2025-07-01 23:22:49.780670,0 days 00:00:01.092757,brute,0.8056371277175519,goss,176,LightGBM,entropy,7,31.392592085299277,18,0.43298830384422077,7,,,chebyshev,,9,9,103,,20,121,3,uniform,"VotingClassifier(estimators=[('LightGBM',
                              LGBMClassifier(boosting_type='goss',
                                             learning_rate=0.43298830384422077,
                                             max_depth=7, n_estimators=103,
                                             num_leaves=121, random_state=42,
                                             verbose=-1))],
                 voting='soft')",COMPLETE,0.9342364532019705,0.9399021663172606,0.8813892529488859,0.9097057828880621,0.8591717013891172
14,0.7406549415392734,2025-07-01 23:22:49.844430,2025-07-01 23:22:50.020257,0 days 00:00:00.175827,brute,0.5979609590108644,dart,109,DecisionTreeClassifier,entropy,9,99.08240626395937,23,0.4261890919730439,5,,,euclidean,,6,9,125,,6,112,3,uniform,"VotingClassifier(estimators=[('DecisionTreeClassifier',
                              DecisionTreeClassifier(criterion='entropy',
                                                     max_depth=5,
                                                     min_samples_leaf=6,
                                                     min_samples_split=9,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.8758620689655172,0.9451219512195121,0.7110091743119266,0.8115183246073298,0.7379574114977351
15,0.8328604528438793,2025-07-01 23:22:50.102138,2025-07-01 23:22:51.861629,0 days 00:00:01.759491,kd_tree,0.8320541623637547,goss,60,ExtraTreesClassifier,entropy,9,18.358532840190737,34,0.3578895593947099,8,,,euclidean,,9,10,99,,15,117,3,uniform,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(criterion='entropy',
                                                   max_depth=8,
                                                   max_features=None,
                                                   min_samples_leaf=9,
                                                   min_samples_split=10,
                                                   n_estimators=99,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.9041871921182266,0.9290566037735849,0.8066841415465269,0.8635566467905998,0.7949734346198717
16,0.8822552317815268,2025-07-01 23:22:51.940526,2025-07-01 23:22:53.299384,0 days 00:00:01.358858,brute,0.49951010632061,dart,254,CatBoost,entropy,6,63.40500679520879,15,0.24840183068620425,6,,,euclidean,,6,8,133,,8,123,3,uniform,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5B4C460>)],
                 voting='soft')",COMPLETE,0.9334975369458128,0.943502824858757,0.8754914809960681,0.9082256968048947,0.8576694333904558
17,0.8848418509540066,2025-07-01 23:22:53.374999,2025-07-01 23:22:54.359257,0 days 00:00:00.984258,brute,0.9933480090479538,dart,142,CatBoost,entropy,4,38.66416667244031,32,0.47312375119122324,8,,,chebyshev,,1,9,114,,11,109,1,uniform,"VotingClassifier(estimators=[('CatBoost',
                              <catboost.core.CatBoostClassifier object at 0x0000023BA5C4E2B0>)],
                 voting='soft')",COMPLETE,0.9310344827586207,0.9356643356643357,0.8768020969855832,0.905277401894452,0.8522563752389136
18,0.7064991177295139,2025-07-01 23:22:54.470389,2025-07-01 23:22:55.672550,0 days 00:00:01.202161,brute,0.7199677542519105,goss,190,ExtraTreesClassifier,gini,7,19.977687476366103,14,0.3810615605048845,4,,,minkowski,,8,10,97,,20,118,2,uniform,"VotingClassifier(estimators=[('ExtraTreesClassifier',
                              ExtraTreesClassifier(max_depth=4,
                                                   max_features=None,
                                                   min_samples_leaf=8,
                                                   min_samples_split=10,
                                                   n_estimators=97,
                                                   random_state=42))],
                 voting='soft')",COMPLETE,0.8729064039408867,0.9469026548672567,0.7011795543905636,0.8057228915662651,0.7321799791152495
19,0.8363083164300203,2025-07-01 23:22:55.767490,2025-07-01 23:22:55.926291,0 days 00:00:00.158801,kd_tree,0.5779955486122815,dart,70,DecisionTreeClassifier,entropy,8,85.71436523831564,23,0.45381519061955117,9,,,euclidean,,5,8,71,,5,112,3,uniform,"VotingClassifier(estimators=[('DecisionTreeClassifier',
                              DecisionTreeClassifier(criterion='entropy',
                                                     max_depth=9,
                                                     min_samples_leaf=5,
                                                     min_samples_split=8,
                                                     random_state=42))],
                 voting='soft')",COMPLETE,0.9096059113300493,0.9447429009976976,0.8066841415465269,0.8702721809826793,0.8074591999456153
